Brand ID,Plant,Cross Plant Configurable Material,Style,Material Number ID,Material Number Text,Color (nrf Color Code),Characteristic Value For Main Sizes Of Variants ID,Fashion Information Field 1,HS2 Product Category,Brand Territory,Last Season Year/Season EMEA,Lot Logo fullbleed-desktop,ATP Current Week 30plus
NF,D060 - VF EDC (BE),NF0A8A7T0QU1,M HS PONCHO JKT - AP,NF0A8A7T0QU1001,"M HS PONCHO JKT - AP Smokey Brown, Large",201 - DARK BROWN,L,M - Mens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8A7T0QU-HERO?$hero-fullbleed-desktop$,4
NF,D060 - VF EDC (BE),NF0A3FJWJK31,SALTY LINED BEANIE,NF0A3FJWJK31001,"SALTY LINED BEANIE TN, One Size, Regular",001 - BLACK,OS,M - Mens,105 - ACC_Headwear,321 - Mountain Essentials,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3FJWJK3-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A82VQ4H01,M DAWNSTRIKE GTX PNT,NF0A82VQ4H01013,"M DAWNSTRIKE GTX PNT TNF, Small, Regular",001 - BLACK,S,M - Mens,113 - APP_Bottom,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A82VQ4H0-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A89VNLK51,W MTN RNG DWN PKA,NF0A89VNLK51003,"W MTN RNG DWN PKA KHAKI STONE, Medium",260 - MEDIUM BEIGE,M,W - Womens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89VNLK5-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A82U2EK21,W TSIRKU FL BIB,NF0A82U2EK21010,"W TSIRKU FL BIB PONDROSA, Small, Regular",301 - DARK GREEN,S,W - Womens,113 - APP_Bottom,317 - Mountain Sports,F02022,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A82U2EK2-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A8AGZJD71,TNF X CDG ND WIND JKT,NF0A8AGZJD71006,"TNF X CDG ND WIND JKT ROCKO GREEN, Large",301 - DARK GREEN,L,M - Mens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8AGZJD7-HERO?$hero-fullbleed-desktop$,3
NF,D060 - VF EDC (BE),NF0A8DEB4TO1,W TNF MOUNTAIN LANDSCAP,NF0A8DEB4TO1006,"W TNF MOUNTAIN LANDSCAP Mauve/Mid, Large",660 - MEDIUM PINK,L,W - Womens,114 - APP_Top,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8DEB4TO-HERO?$hero-fullbleed-desktop$,16
NF,D060 - VF EDC (BE),NF0A89401NI1,W MA 25IN FLEX TIGHT,NF0A89401NI1001,"W MA 25IN FLEX TIGHT M, X Small, Regular",501 - DARK PURPLE,XS,W - Womens,113 - APP_Bottom,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89401NI-HERO?$hero-fullbleed-desktop$,5
NF,D060 - VF EDC (BE),NF0A7W5M3KI1,M VECTIV INFINITE 2,NF0A7W5M3KI1001,"M VECTIV INFINITE 2 Asphalt Grey/Vi, 10",021 - DARK GREY,100,M - Mens,123 - FTW_Shoe,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7W5M3KI-HERO?$hero-fullbleed-desktop$,15
NF,D060 - VF EDC (BE),NF0A7UT937U1,M BREITHORN JKT,NF0A7UT937U1004,"M BREITHORN JKT MILITARY OLIVE, Small",301 - DARK GREEN,S,M - Mens,115 - APP_Outerwear,317 - Mountain Sports,S02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7UT937U-HERO?$hero-fullbleed-desktop$,1
